enterprisenumber,denomination,typeofenterprise,status,startdate,juridicalform,address_street,address_housenumber,address_box,address_zipcode,address_city,address_country,activities
0400003551,Styl,Rechtspersoon,Actief,1968-10-14,Naamloze vennootschap,Rue de la Goëtte,85,,1420,Braine-l'Alleud,België,"43221:Loodgieterswerk; 41201:Algemene bouw van residentiële gebouwen; 68311:Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
0400008697,DE CLIPPEL,Rechtspersoon,Actief,1968-05-01,Naamloze vennootschap,Solleveld,17,,9550,Herzele,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
0400008994,De Sloovere,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Stokstraat(KRU),14,,9770,Kruisem,België,"43999:Overige gespecialiseerde bouwwerkzaamheden; 23610:Vervaardiging van artikelen van beton voor de bouw; 46731:Groothandel in bouwmaterialen, algemeen assortiment; 47521:Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
0400033047,GONDELLA,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Oude Eedstraat,3A,,9810,Nazareth,België,"31010:Vervaardiging van kantoor- en winkelmeubelen; 43999:Overige gespecialiseerde bouwwerkzaamheden; 25110:Vervaardiging van metalen constructiewerken en delen daarvan; 25610:Oppervlaktebehandeling van metalen; 31010:Vervaardiging van kantoor- en winkelmeubelen; 43299:Overige bouwinstallatie, n.e.g.; 43320:Schrijnwerk"
0400063434,QUALIGLAS VAN DE VELDE,Rechtspersoon,Actief,1954-08-14,Naamloze vennootschap,Watlingtonstraat,7,,9000,Gent,België,43343:Glaszetten; 43343:Glaszetten
0400071550,CHARLES BEAUMONT,Rechtspersoon,Actief,1954-02-22,Naamloze vennootschap,Spinnerijstraat(Kor),99,22,8500,Kortrijk,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie"
0400071649,Beddeleem,Rechtspersoon,Actief,1962-11-06,Naamloze vennootschap,Venecoweg,14A,,9810,Nazareth,België,43320:Schrijnwerk; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen; 43320:Schrijnwerk
0400077686,Cosmolift,Rechtspersoon,Actief,1964-10-10,Naamloze vennootschap,Venecolaan,52J,,9880,Aalter,België,"43299:Overige bouwinstallatie, n.e.g.; 28220:Vervaardiging van hijs-, hef- en transportwerktuigen; 43211:Elektrotechnische installatiewerken aan gebouwen; 43299:Overige bouwinstallatie, n.e.g."
0400078973,DVP PROJECTS,Rechtspersoon,Actief,1968-03-14,Naamloze vennootschap,Oudstrijderslei,18,,2930,Brasschaat,België,"64200:Holdings; 43390:Overige werkzaamheden in verband met de afwerking van gebouwen; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 82110:Diverse administratieve activiteiten ten behoeve van kantoren"
0400082042,Artes Depret,Rechtspersoon,Actief,1941-10-16,Naamloze vennootschap,Rederskaai,61,.0301,8380,Brugge,België,"42919:Waterbouw, m.u.v. baggerwerken; 42110:Bouw van autowegen en andere wegen"
0400084220,CAP-CARPET-LAND PROJECT DEPARTEMENT,Rechtspersoon,Actief,1952-10-24,Naamloze vennootschap,Z. 5 Mollem,170,,1730,Asse,België,43333:Plaatsen van behang en vloerbedekking en wandbekleding van andere materialen
0400085606,ELDEMAR,Rechtspersoon,Actief,1964-01-22,Naamloze vennootschap,Lindestraat,13,,9240,Zele,België,70220:Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering; 41201:Algemene bouw van residentiële gebouwen; 70220:Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering
0400089465,CHARLES HAERENS,Rechtspersoon,Actief,1959-01-01,Naamloze vennootschap,Zeilschipstraat,9,,9000,Gent,België,"23190:Vervaardiging en bewerking van ander glas (inclusief technisch glaswerk); 43999:Overige gespecialiseerde bouwwerkzaamheden; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen"
0400095801,Alides Land,Rechtspersoon,Actief,1965-09-13,Naamloze vennootschap,Foreestelaan,86,201,9000,Gent,België,41102:Ontwikkeling van niet-residentiële bouwprojecten; 41101:Ontwikkeling van residentiële bouwprojecten; 41201:Algemene bouw van residentiële gebouwen; 41202:Algemene bouw van kantoorgebouwen
0400100848,PARA INDUSTRIES,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Knippegroen,40,,9042,Gent,België,43341:Schilderen van gebouwen; 43341:Schilderen van gebouwen
0400136876,De Maerteleire,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Industriepark,4,B,9820,Merelbeke,België,43211:Elektrotechnische installatiewerken aan gebouwen; 43211:Elektrotechnische installatiewerken aan gebouwen
0400152615,Immoflandria,Rechtspersoon,Actief,1966-09-21,Naamloze vennootschap,Brusselsesteenweg,69,/101,9090,Melle,België,41101:Ontwikkeling van residentiële bouwprojecten; 43320:Schrijnwerk; 41201:Algemene bouw van residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen; 43120:Bouwrijp maken van terreinen; 43291:Isolatiewerkzaamheden
0400156177,Latexfalt,Rechtspersoon,Actief,1952-11-26,Naamloze vennootschap,Oeverstraat,6,,9160,Lokeren,België,43999:Overige gespecialiseerde bouwwerkzaamheden; 43331:Plaatsen van vloer- en wandtegels
0400177260,All Generations Projects,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Langestraat,30,,9240,Zele,België,43120:Bouwrijp maken van terreinen; 43211:Elektrotechnische installatiewerken aan gebouwen; 24340:Koudtrekken van draad
0400289108,GLASHANDEL DE SMAELE,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Dokter André Goffaertsstraat,5,,9300,Aalst,België,43343:Glaszetten; 43343:Glaszetten; 23110:Vervaardiging van vlakglas
0400320384,Samtex,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Katstraat,22,,9340,Lede,België,41101:Ontwikkeling van residentiële bouwprojecten; 13300:Textielveredeling; 14130:Vervaardiging van andere bovenkleding
0400348001,Immobilière de la Toison d'Or,Rechtspersoon,Actief,1932-08-01,Naamloze vennootschap,Waterloosesteenweg,1135,,1180,Ukkel,België,41101:Ontwikkeling van residentiële bouwprojecten
0400359184,Watimmo,Rechtspersoon,Actief,1967-09-28,Naamloze vennootschap,Rue Dury (Emile),226,,1410,Waterloo,België,47591:Detailhandel in huismeubilair in gespecialiseerde winkels; 41101:Ontwikkeling van residentiële bouwprojecten; 47591:Detailhandel in huismeubilair in gespecialiseerde winkels
0400361263,Endeco,Rechtspersoon,Actief,1963-01-01,Naamloze vennootschap,Rue de l'Industrie,6,,1301,Wavre,België,"43291:Isolatiewerkzaamheden; 46190:Handelsbemiddeling in goederen, algemeen assortiment; 43310:Stukadoorswerk"
0400371656,DETRE INVEST,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Hamoirlaan,10,,1180,Ukkel,België,41101:Ontwikkeling van residentiële bouwprojecten
0400379079,INTERNATIONAL ROOFING CY,Rechtspersoon,Actief,1965-12-25,Naamloze vennootschap,LAR Blok Z (Aal),5,,8511,Kortrijk,België,42110:Bouw van autowegen en andere wegen
0400388680,LOGIMARINE,Rechtspersoon,Actief,1950-04-25,Naamloze vennootschap,Scheldedijk,30,,2070,Zwijndrecht,België,50200:Goederenvervoer over zee- en kustwateren; 42911:Baggerwerken
0400428470,MANUGENIE,Rechtspersoon,Actief,1960-09-20,Naamloze vennootschap,Bischoffsheimlaan,33,,1000,Brussel,België,"41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen; 68202:Verhuur en exploitatie van sociale woningen; 73200:Markt- en opinieonderzoekbureaus"
0400443120,ENTREPRISES SIMONIS,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Terhulpsesteenweg,185,,1170,Watermaal-Bosvoorde,België,71111:Bouwarchitecten; 41201:Algemene bouw van residentiële gebouwen; 47592:Detailhandel in verlichtingsartikelen in gespecialiseerde winkels
0400456184,Compagnie Générale des Asphaltes,Rechtspersoon,Actief,1922-09-06,Naamloze vennootschap,D'Herbouvillekaai,80,,2020,Antwerpen,België,43910:Dakwerkzaamheden; 43910:Dakwerkzaamheden; 42110:Bouw van autowegen en andere wegen
0400464795,AANNEMINGSMAATSCHAPPIJ CFE,Rechtspersoon,Actief,1880-06-27,Naamloze vennootschap,Edmond Van Nieuwenhuyselaan,30,,1160,Oudergem,België,41202:Algemene bouw van kantoorgebouwen; 41201:Algemene bouw van residentiële gebouwen
0400467666,ENGEO,Rechtspersoon,Actief,1922-07-07,Naamloze vennootschap,Avenue Landas,24,,1480,Tubize,België,43999:Overige gespecialiseerde bouwwerkzaamheden
0400469646,Ateliers Crombez et Baeyens - Successeurs de Crombez et Trivier,Rechtspersoon,Actief,1966-03-05,Naamloze vennootschap,Sint Lendriksborre,7,,1120,Brussel,België,"28220:Vervaardiging van hijs-, hef- en transportwerktuigen; 43299:Overige bouwinstallatie, n.e.g."
0400471428,Entreprises Jacques Delens,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Groenkraaglaan,1,,1170,Watermaal-Bosvoorde,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0400473705,"DREDGING, ENVIRONMENTAL & MARINE ENGINEERING",Rechtspersoon,Actief,1930-04-05,Naamloze vennootschap,Scheldedijk,30,,2070,Zwijndrecht,België,42911:Baggerwerken; 42911:Baggerwerken; 64200:Holdings
0400475386,EGCO SURKYN,Rechtspersoon,Actief,1967-01-01,Naamloze vennootschap,Ringlaan,108,,1180,Ukkel,België,41201:Algemene bouw van residentiële gebouwen
0400481821,Les Entreprises Générales Fernand Gillion et fils,Rechtspersoon,Actief,1951-07-31,Naamloze vennootschap,Sint-Denijsstraat,132,,1190,Vorst,België,41202:Algemene bouw van kantoorgebouwen; 41201:Algemene bouw van residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen
0400484591,Imperbel,Rechtspersoon,Actief,1932-01-01,Naamloze vennootschap,Guido Gezellestraat,123,,1654,Beersel,België,43910:Dakwerkzaamheden; 43910:Dakwerkzaamheden
0400504288,OLD VASTGOED,Rechtspersoon,Actief,1965-11-06,Naamloze vennootschap,Steenwinkelstraat,640,,2627,Schelle,België,41201:Algemene bouw van residentiële gebouwen
0400552788,BROADBAND AND BROADCAST SYSTEMS INTEGRATORS,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Dageraadstraat,44,,1000,Brussel,België,"43299:Overige bouwinstallatie, n.e.g."
0400582581,Maison Hubert Cabay,Rechtspersoon,Actief,1952-04-25,Naamloze vennootschap,Edouard Faesstraat,20,22,1090,Jette,België,43320:Schrijnwerk; 43343:Glaszetten; 43910:Dakwerkzaamheden
0400695617,Pellikaan Bouwbedrijf,Rechtspersoon,Actief,1967-09-13,Naamloze vennootschap,Excelsiorlaan,1,4,1930,Zaventem,België,41201:Algemene bouw van residentiële gebouwen; 41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 43120:Bouwrijp maken van terreinen; 71111:Bouwarchitecten
0400840919,FORT,Rechtspersoon,Actief,1950-03-19,Naamloze vennootschap,Meensesteenweg,608,,8800,Roeselare,België,"46392:Niet-gespecialiseerde groothandel in niet-diepgevroren voedingsmiddelen, dranken en genotmiddelen; 41101:Ontwikkeling van residentiële bouwprojecten; 68100:Handel in eigen onroerend goed"
0400841909,Geens en Zonen,Rechtspersoon,Actief,1959-02-15,Naamloze vennootschap,Putsesteenweg,319,,2820,Bonheiden,België,43320:Schrijnwerk; 43320:Schrijnwerk
0400845669,Algemene Bouwonderneming Heylen,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Industriepark,17,,2220,Heist-op-den-Berg,België,"41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 41101:Ontwikkeling van residentiële bouwprojecten; 43221:Loodgieterswerk; 43310:Stukadoorswerk; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0400852104,VERWARMINGSBEDRIJF DE BRUYNE,Rechtspersoon,Actief,1960-02-16,Naamloze vennootschap,Belcrownlaan,18,,2100,Antwerpen,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie"
0400853587,DE MEDTS,Rechtspersoon,Actief,1967-11-18,Naamloze vennootschap,Simon De Heuvellaan,8,,2110,Wijnegem,België,43342:Schilderen van civieltechnische werken; 43341:Schilderen van gebouwen
0400865762,Heras Hekwerk,Rechtspersoon,Actief,1967-12-01,Naamloze vennootschap,Haltstraat,53,,3900,Pelt,België,43320:Schrijnwerk; 43999:Overige gespecialiseerde bouwwerkzaamheden
0400929308,Bastijns Gebroeders Algemene Bouwonderneming,Rechtspersoon,Actief,1954-10-22,Naamloze vennootschap,Genkersteenweg,195,1.01,3500,Hasselt,België,"41102:Ontwikkeling van niet-residentiële bouwprojecten; 41201:Algemene bouw van residentiële gebouwen; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0400936236,Domein MASE,Rechtspersoon,Actief,1930-10-15,Naamloze vennootschap,Jagersborgweg,1007,,3680,Maaseik,België,"41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 41203:Algemene bouw van andere niet-residentiële gebouwen; 43110:Slopen; 43999:Overige gespecialiseerde bouwwerkzaamheden; 70210:Adviesbureaus op het gebied van public relations en communicatie; 82990:Overige zakelijke dienstverlening, n.e.g."
0400950389,J. Hermans et Cie,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Grijpenveldstraat,20,,3300,Tienen,België,43343:Glaszetten; 25120:Vervaardiging van metalen deuren en vensters; 43343:Glaszetten
0400957814,LPS KLIMATECHNIEK,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Industriezone Schurhovenveld,4044,,3800,Sint-Truiden,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie"
0400958408,Bouwbedrijf Loix,Rechtspersoon,Actief,1967-01-01,Naamloze vennootschap,Prinsenweg,3,,3700,Tongeren,België,"41201:Algemene bouw van residentiële gebouwen; 46620:Groothandel in gereedschapswerktuigen; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0400983152,Vanderstraeten,Rechtspersoon,Actief,1960-02-01,Naamloze vennootschap,Europaweg,11,,3560,Lummen,België,41203:Algemene bouw van andere niet-residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen; 43320:Schrijnwerk
0400987508,Bouwbedrijf Zeeuws,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Meldertsestraat,8,,3545,Halen,België,41201:Algemene bouw van residentiële gebouwen
0401006611,Immobilière Carpentier,Rechtspersoon,Actief,1941-08-02,Naamloze vennootschap,Karperstraat,5,,9800,Deinze,België,"41101:Ontwikkeling van residentiële bouwprojecten; 41102:Ontwikkeling van niet-residentiële bouwprojecten; 68100:Handel in eigen onroerend goed; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen"
0401006710,ETABLISSEMENTS CARTON-D'HUYVETTER,Rechtspersoon,Actief,1952-09-30,Naamloze vennootschap,Tolpoortstraat,63,,9800,Deinze,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43222:Installatie van verwarming, klimaatregeling en ventilatie; 43291:Isolatiewerkzaamheden; 43910:Dakwerkzaamheden; 43991:Waterdichtingswerken van muren; 46473:Groothandel in verlichtingsapparatuur; 68100:Handel in eigen onroerend goed"
0401032048,Algemene Glaswerken Masson,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Onteigeningsstraat,18,,9060,Zelzate,België,43343:Glaszetten; 23110:Vervaardiging van vlakglas; 43343:Glaszetten
0401057881,Huis Verleye Herman en Zonen,Rechtspersoon,Actief,1956-12-08,Naamloze vennootschap,Kaaistraat,21,,9900,Eeklo,België,"43222:Installatie van verwarming, klimaatregeling en ventilatie; 43221:Loodgieterswerk"
0401077083,Lummerzheim & Co,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Tragel,60,,9308,Aalst,België,"41102:Ontwikkeling van niet-residentiële bouwprojecten; 28250:Vervaardiging van machines en apparaten voor de koeltechniek en de  klimaatregeling, voor niet-huishoudelijk gebruik; 43291:Isolatiewerkzaamheden"
0401077182,Eribel,Rechtspersoon,Actief,1966-01-01,Naamloze vennootschap,Ambachtsweg,8,,2310,Rijkevorsel,België,46739:Groothandel in overige bouwmaterialen; 43320:Schrijnwerk; 25501:Smeden van metaal
0401094703,HIPPO CAPSA,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Pierstraat,14,,2630,Aartselaar,België,"41101:Ontwikkeling van residentiële bouwprojecten; 68201:Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen"
0401103413,Groupement immobilier de Mons,Rechtspersoon,Actief,1967-01-06,Naamloze vennootschap,Quai de la Darse,14,,6030,Charleroi,België,41101:Ontwikkeling van residentiële bouwprojecten
0401118160,Miroiteries Montoises,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Place des Alliés,8,,7000,Mons,België,43343:Glaszetten; 43343:Glaszetten
0401155574,Carrières et Terrassements,Rechtspersoon,Actief,1958-07-02,Naamloze vennootschap,Chaussée de Maubeuge,449,,7022,Mons,België,43120:Bouwrijp maken van terreinen; 08111:Winning van bouw- en siersteen; 43120:Bouwrijp maken van terreinen
0401157059,Céramique et Matériaux nouveaux,Rechtspersoon,Actief,1929-01-01,Naamloze vennootschap,Rue du Halage,13,,1460,Ittre,België,41101:Ontwikkeling van residentiële bouwprojecten
0401164284,Entreprises de travaux publics Delbart,Rechtspersoon,Actief,1948-12-28,Naamloze vennootschap,Rue Saint-Vincent,1,,7950,Chièvres,België,42110:Bouw van autowegen en andere wegen
0401185367,LARCIN,Rechtspersoon,Actief,1967-02-08,Naamloze vennootschap,Rue Lefébure E.(Haul),12,,7120,Estinnes,België,42110:Bouw van autowegen en andere wegen; 42110:Bouw van autowegen en andere wegen
0401187644,Entreprises Générales de Bâtiments Camille Leroy,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Zilverstraat(E),37,,7850,Enghien,België,41201:Algemene bouw van residentiële gebouwen; 41201:Algemene bouw van residentiële gebouwen
0401193879,MENUISERIE MOUTON,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Route de Mons-Maubeuge(HAV),41,,7041,Quévy,België,43320:Schrijnwerk; 43320:Schrijnwerk
0401205955,ENTRETAL,Rechtspersoon,Actief,1957-06-03,Naamloze vennootschap,Rue de Leuze,1,b,7950,Chièvres,België,42110:Bouw van autowegen en andere wegen
0401212289,Etablissements Maurice Wanty,Rechtspersoon,Actief,1968-01-01,Naamloze vennootschap,Rue des Mineurs(PER),25,,7134,Binche,België,"42110:Bouw van autowegen en andere wegen; 42990:Bouw van andere civieltechnische werken, n.e.g.; 41201:Algemene bouw van residentiële gebouwen; 43110:Slopen; 46731:Groothandel in bouwmaterialen, algemeen assortiment"
0401282169,Bichterweerd,Rechtspersoon,Actief,1968-02-29,Naamloze vennootschap,Rijksweg,841,,3650,Dilsen-Stokkem,België,08121:Winning van grind; 42911:Baggerwerken
